ticket_id,true_category,pred_category,category_correct,true_sentiment,pred_sentiment,sentiment_correct,true_urgency,pred_urgency,urgency_correct,true_kb_match,retrieved_top1,retrieval_hit_at_1,retrieval_hit_at_k
T00092,Shipping/Delivery,Billing,False,Neutral,Neutral,True,High,High,True,KB0015,KB0017,False,True
T00044,Technical Issue,Technical Issue,True,Negative,Negative,True,Low,Medium,False,KB0007,KB0009,False,False
T00007,Billing,Billing,True,Positive,Positive,True,High,High,True,KB0001,KB0001,True,True
T00021,Billing,Billing,True,Negative,Negative,True,High,High,True,KB0003,KB0001,False,False
T00095,Shipping/Delivery,Shipping/Delivery,True,Neutral,Neutral,True,Medium,Low,False,KB0015,KB0019,False,False
T00075,Account Access,Billing,False,Negative,Neutral,False,High,High,True,KB0012,KB0012,True,True
T00020,Billing,Billing,True,Negative,Negative,True,High,High,True,KB0003,KB0003,True,True
T00121,Cancellation/Refund,Cancellation/Refund,True,Negative,Negative,True,Low,Medium,False,KB0020,KB0023,False,False
T00026,Billing,Cancellation/Refund,False,Negative,Negative,True,High,High,True,KB0004,KB0000,False,False
T00019,Billing,Billing,True,Neutral,Neutral,True,Medium,Low,False,KB0003,KB0001,False,False
T00081,Account Access,Account Access,True,Neutral,Neutral,True,Medium,Low,False,KB0013,KB0013,True,True
T00088,Account Access,Billing,False,Negative,Negative,True,Medium,Medium,True,KB0014,KB0012,False,False
T00143,Cancellation/Refund,Cancellation/Refund,True,Neutral,Neutral,True,Low,High,False,KB0023,KB0024,False,True
T00117,Shipping/Delivery,Shipping/Delivery,True,Neutral,Neutral,True,High,High,True,KB0019,KB0015,False,True
T00023,Billing,Billing,True,Neutral,Neutral,True,Medium,Low,False,KB0003,KB0001,False,False
T00077,Account Access,Account Access,True,Negative,Negative,True,Medium,Medium,True,KB0012,KB0014,False,False
T00138,Cancellation/Refund,Cancellation/Refund,True,Neutral,Neutral,True,Low,High,False,KB0023,KB0023,True,True
T00073,Account Access,Account Access,True,Positive,Positive,True,Medium,Low,False,KB0012,KB0010,False,False
T00014,Billing,Cancellation/Refund,False,Negative,Negative,True,High,High,True,KB0002,KB0000,False,False
T00142,Cancellation/Refund,Cancellation/Refund,True,Negative,Negative,True,High,High,True,KB0023,KB0023,True,True
T00123,Cancellation/Refund,Cancellation/Refund,True,Neutral,Neutral,True,Low,High,False,KB0020,KB0024,False,True
T00062,Account Access,Account Access,True,Negative,Negative,True,High,High,True,KB0010,KB0014,False,False
T00083,Account Access,Account Access,True,Negative,Negative,True,Medium,Medium,True,KB0013,KB0010,False,True
T00074,Account Access,Billing,False,Negative,Negative,True,Low,Medium,False,KB0012,KB0012,True,True
T00042,Technical Issue,Technical Issue,True,Negative,Neutral,False,High,High,True,KB0007,KB0008,False,False
T00060,Account Access,Account Access,True,Negative,Negative,True,Medium,Medium,True,KB0010,KB0010,True,True
T00040,Technical Issue,Technical Issue,True,Neutral,Neutral,True,High,High,True,KB0006,KB0005,False,False
T00045,Technical Issue,Technical Issue,True,Negative,Negative,True,Medium,Medium,True,KB0007,KB0005,False,False
T00087,Account Access,Account Access,True,Positive,Positive,True,Low,Low,True,KB0014,KB0014,True,True
T00124,Cancellation/Refund,Cancellation/Refund,True,Neutral,Neutral,True,Medium,Low,False,KB0020,KB0021,False,False
T00041,Technical Issue,Billing,False,Negative,Negative,True,Medium,Medium,True,KB0006,KB0006,True,True
T00131,Cancellation/Refund,Billing,False,Positive,Positive,True,Medium,Low,False,KB0021,KB0022,False,False
T00070,Account Access,Account Access,True,Neutral,Neutral,True,High,High,True,KB0011,KB0011,True,True
T00046,Technical Issue,Technical Issue,True,Negative,Negative,True,High,High,True,KB0007,KB0009,False,False
