ticket_id,text,true_category,true_best_kb_match,true_sentiment,true_urgency
T00092,"Hello, the package arrived damaged Wanted to flag this issue. This is urgent, please help ASAP.",Shipping/Delivery,KB0015,Neutral,High
T00044,"Hi team, the search feature returns no results for anything I type I'm quite upset about this.",Technical Issue,KB0007,Negative,Low
T00007,"So, my invoice shows an amount I don't recognize I appreciate you looking into this. This is urgent, please help ASAP.",Billing,KB0001,Positive,High
T00021,"So, my invoice shows an amount I don't recognize This is unacceptable. I need this resolved immediately.",Billing,KB0003,Negative,High
T00095,i need to change my shipping address after placing the order Could someone look into this?,Shipping/Delivery,KB0015,Neutral,Medium
T00075,"Hello, two-factor authentication codes aren't being accepted I've been dealing with this for days. I need this resolved immediately.",Account Access,KB0012,Negative,High
T00020,"Hi team, i'm being billed after I cancelled my plan I'm very disappointed. This is urgent, please help ASAP.",Billing,KB0003,Negative,High
T00121,"Hi team, the refund I received was less than what I paid This is really frustrating.",Cancellation/Refund,KB0020,Negative,Low
T00026,i was charged twice for my February subscription This is really frustrating. I need this resolved immediately.,Billing,KB0004,Negative,High
T00019,"So, my invoice shows an amount I don't recognize Could someone look into this?",Billing,KB0003,Neutral,Medium
T00081,"Hi team, my account shows someone else's information Could someone look into this?",Account Access,KB0013,Neutral,Medium
T00088,"Hi, two-factor authentication codes aren't being accepted I'm quite upset about this.",Account Access,KB0014,Negative,Medium
T00143,i want to cancel and get a refund for this month Let me know what you need from me.,Cancellation/Refund,KB0023,Neutral,Low
T00117,"Hello, my order hasn't arrived and tracking hasn't updated in 7 days Could someone look into this? I need this resolved immediately.",Shipping/Delivery,KB0019,Neutral,High
T00023,"So, my invoice shows an amount I don't recognize Wanted to flag this issue.",Billing,KB0003,Neutral,Medium
T00077,"Hi, i can't log in even with the correct password This is really frustrating.",Account Access,KB0012,Negative,Medium
T00138,"So, the refund I received was less than what I paid Let me know what you need from me.",Cancellation/Refund,KB0023,Neutral,Low
T00073,"Hi, i'm locked out of my account after too many login attempts I appreciate you looking into this.",Account Access,KB0012,Positive,Medium
T00014,"Hi, i was charged twice for my May subscription I'm quite upset about this. I need an answer today.",Billing,KB0002,Negative,High
T00142,"Hi team, the refund I received was less than what I paid This is unacceptable. This is urgent, please help ASAP.",Cancellation/Refund,KB0023,Negative,High
T00123,"Hi team, i want to cancel and get a refund for this month Let me know what you need from me.",Cancellation/Refund,KB0020,Neutral,Low
T00062,"So, i can't log in even with the correct password I'm quite upset about this. I need an answer today.",Account Access,KB0010,Negative,High
T00083,"Hi, i'm locked out of my account after too many login attempts This is really frustrating.",Account Access,KB0013,Negative,Medium
T00074,"Hi, two-factor authentication codes aren't being accepted I'm quite upset about this.",Account Access,KB0012,Negative,Low
T00042,"So, push notifications stopped working after the last update I've been dealing with this for days. This is urgent, please help ASAP.",Technical Issue,KB0007,Negative,High
T00060,i'm locked out of my account after too many login attempts I'm quite upset about this.,Account Access,KB0010,Negative,Medium
T00040,the app crashes every time I open the billing screen Wanted to flag this issue. I need an answer today.,Technical Issue,KB0006,Neutral,High
T00045,"Hi team, the app crashes every time I open the settings screen This is unacceptable.",Technical Issue,KB0007,Negative,Medium
T00087,"Hi team, i can't log in even with the correct password I appreciate you looking into this.",Account Access,KB0014,Positive,Low
T00124,"Hi, i requested a refund 13 days ago and haven't heard back Wanted to flag this issue.",Cancellation/Refund,KB0020,Neutral,Medium
T00041,"Hi team, i can't upload files larger than a few MB I'm quite upset about this.",Technical Issue,KB0006,Negative,Medium
T00131,"i was charged after I thought I cancelled No rush, just wanted to report it.",Cancellation/Refund,KB0021,Positive,Medium
T00070,"Hi, the password reset email never arrives Could someone look into this? I need this resolved immediately.",Account Access,KB0011,Neutral,High
T00046,the search feature returns no results for anything I type This is unacceptable. I need an answer today.,Technical Issue,KB0007,Negative,High
T00126,"Hello, the refund I received was less than what I paid Could someone look into this? I need an answer today.",Cancellation/Refund,KB0021,Neutral,High
T00054,"Hi team, the dashboard is stuck loading and never finishes I'm very disappointed.",Technical Issue,KB0009,Negative,Low
T00085,"So, my account shows someone else's information No rush, just wanted to report it.",Account Access,KB0014,Positive,Medium
T00114,i need to change my shipping address after placing the order Thanks in advance for your help! I need this resolved immediately.,Shipping/Delivery,KB0019,Positive,High
T00038,"Hi, the app crashes every time I open the settings screen No rush, just wanted to report it.",Technical Issue,KB0006,Positive,Medium
T00101,"Hello, i need to change my shipping address after placing the order This is really frustrating.",Shipping/Delivery,KB0016,Negative,Medium
T00149,"So, i want to cancel and get a refund for this month Let me know what you need from me.",Cancellation/Refund,KB0024,Neutral,Medium
T00136,"Hi, the refund I received was less than what I paid I'm very disappointed.",Cancellation/Refund,KB0022,Negative,Medium
T00113,i need to change my shipping address after placing the order I appreciate you looking into this.,Shipping/Delivery,KB0018,Positive,Medium
T00097,"Hi team, i received the wrong item in my order I'm very disappointed.",Shipping/Delivery,KB0016,Negative,Low
T00141,"Hi, the refund I received was less than what I paid Could someone look into this? I need this resolved immediately.",Cancellation/Refund,KB0023,Neutral,High
T00036,the search feature returns no results for anything I type Let me know what you need from me.,Technical Issue,KB0006,Neutral,Low
T00037,"So, i can't upload files larger than a few MB Let me know what you need from me. I need an answer today.",Technical Issue,KB0006,Neutral,High
T00013,"So, i'm being billed after I cancelled my plan Thanks in advance for your help! I need this resolved immediately.",Billing,KB0002,Positive,High
T00068,"Hi, i'm locked out of my account after too many login attempts Could someone look into this? I need an answer today.",Account Access,KB0011,Neutral,High
T00011,"Hi, i'm being billed after I cancelled my plan This is really frustrating.",Billing,KB0001,Negative,Medium
T00052,"Hi, i can't upload files larger than a few MB I'm quite upset about this.",Technical Issue,KB0008,Negative,Medium
